"artist_uri","artist_name","artist_id","artist_url"
"spotify:artist:15ZjD8Gus20Miqw3fdOaXX","Stunna Gambino","15ZjD8Gus20Miqw3fdOaXX","https://api.spotify.com/v1/artists/15ZjD8Gus20Miqw3fdOaXX"
"spotify:artist:4fxd5Ee7UefO4CUXgwJ7IP","Giveon","4fxd5Ee7UefO4CUXgwJ7IP","https://api.spotify.com/v1/artists/4fxd5Ee7UefO4CUXgwJ7IP"
"spotify:artist:1n2pb9Tsfe4SwAjmUac6YT","Jake Owen","1n2pb9Tsfe4SwAjmUac6YT","https://api.spotify.com/v1/artists/1n2pb9Tsfe4SwAjmUac6YT"
"spotify:artist:4J3TXBvAMckFbTxqxNYpDj","Kaylee Bell","4J3TXBvAMckFbTxqxNYpDj","https://api.spotify.com/v1/artists/4J3TXBvAMckFbTxqxNYpDj"
"spotify:artist:2nTzAHwCk0swkDdIPj2FIP","Jade Eagleson","2nTzAHwCk0swkDdIPj2FIP","https://api.spotify.com/v1/artists/2nTzAHwCk0swkDdIPj2FIP"
"spotify:artist:5QNm7E7RU2m64l6Gliu8Oy","HARDY","5QNm7E7RU2m64l6Gliu8Oy","https://api.spotify.com/v1/artists/5QNm7E7RU2m64l6Gliu8Oy"
"spotify:artist:40mGQmqwScWdeqW08ff7vu","Nana","40mGQmqwScWdeqW08ff7vu","https://api.spotify.com/v1/artists/40mGQmqwScWdeqW08ff7vu"
"spotify:artist:5delTPpDAtBDsjk60f5xnt","Autumn!","5delTPpDAtBDsjk60f5xnt","https://api.spotify.com/v1/artists/5delTPpDAtBDsjk60f5xnt"
"spotify:artist:4Gso3d4CscCijv0lmajZWs","Don Toliver","4Gso3d4CscCijv0lmajZWs","https://api.spotify.com/v1/artists/4Gso3d4CscCijv0lmajZWs"
"spotify:artist:55TMBUBKkjVqu2EipyfY9z","Pierre Alexander","55TMBUBKkjVqu2EipyfY9z","https://api.spotify.com/v1/artists/55TMBUBKkjVqu2EipyfY9z"
"spotify:artist:2T6EOVQ5lAQc64poyLnXmj","Van Buren Records","2T6EOVQ5lAQc64poyLnXmj","https://api.spotify.com/v1/artists/2T6EOVQ5lAQc64poyLnXmj"
"spotify:artist:1aPmWgDU4JXEWg1d2BwH5M","Smithfield","1aPmWgDU4JXEWg1d2BwH5M","https://api.spotify.com/v1/artists/1aPmWgDU4JXEWg1d2BwH5M"
"spotify:artist:1FtBEIWAwvw5ymBen5GICR","Chlöe","1FtBEIWAwvw5ymBen5GICR","https://api.spotify.com/v1/artists/1FtBEIWAwvw5ymBen5GICR"
"spotify:artist:6Iz3eq2aQGFf7TbGT2iahL","Gabby Barrett","6Iz3eq2aQGFf7TbGT2iahL","https://api.spotify.com/v1/artists/6Iz3eq2aQGFf7TbGT2iahL"
"spotify:artist:3RGLhK1IP9jnYFH4BRFJBS","The Clash","3RGLhK1IP9jnYFH4BRFJBS","https://api.spotify.com/v1/artists/3RGLhK1IP9jnYFH4BRFJBS"
"spotify:artist:1qhXfHiXKvDP2563X2uFpY","Halle Kearns","1qhXfHiXKvDP2563X2uFpY","https://api.spotify.com/v1/artists/1qhXfHiXKvDP2563X2uFpY"
"spotify:artist:6Vy1VMVCyTgbcmA1iz0QFg","Eli Fross","6Vy1VMVCyTgbcmA1iz0QFg","https://api.spotify.com/v1/artists/6Vy1VMVCyTgbcmA1iz0QFg"
